State,Candidate,Description
Alabama,Kay Ivey,"**Background:** Yolanda Flowers is a candidate running for office in Alabama.**Qualifications:** Not specified.**Key Points:*** **Education:** Flowers advocates for education reconstruction, including increased funding for public schools, better teacher training, and desegregation.* **Healthcare:** She proposes the ""Reconstructed Healthcare Plan Options"" to make healthcare more accessible and affordable for low-income workers, the elderly, and small businesses.* **Criminal Justice Reform:** Flowers aims to reduce the number of prisoners in the justice system through litigation, advocacy, and promoting equity."
Alabama,Yolanda Flowers,"The candidate, ""We Must Reconstruct Alabama"", is advocating for three main areas of reconstruction:1. Education: The candidate prioritizes increasing funding for public schools, improving teacher training, and desegregation to ensure equality in education.2. Healthcare: The candidate's ""Reconstructed Healthcare Plan Options"" aim to make healthcare more accessible and affordable for low-income individuals, the elderly, and small businesses.3. Criminal Justice Reform: The candidate seeks to transform the criminal justice system by reducing the number of prisoners through litigation, advocacy, and promoting equity, aiming to rectify existing disparities throughout Alabama."
Alabama,James Blake,Description Not Found
Alabama,Jared Budlong,"The candidate advocates for ensuring high-quality and accessible healthcare and education for all residents of Alabama, regardless of economic status. They emphasize that everyone deserves these essential services, without exceptions. Additionally, they call for a comprehensive reform of the criminal justice system, aiming to move away from the current profit-driven and slavery-like practices and towards a more just and equitable system."
Alaska,Mike Dunleavy,"**Laws and Order**: Mike Dunleavy proposes to restore law and order by opposing ""catch and release"" crime policies and ensuring public safety. As a Senator, he voted against the SB91 crime bill.**Budget and Economy**: Dunleavy advocates for a balanced budget without new taxes or raiding the Permanent Fund Dividend. He aims to attract new investment and connect Alaska's new oil finds to the Trans Alaska Pipeline to stimulate the economy.**Permanent Fund**: Dunleavy believes that the Permanent Fund Dividend belongs to the people of Alaska, not the government, and promises to restore the public trust and the Dividend as Governor."
Alaska,Les S Gara,"The candidate prioritizes the values of opportunity, good education, and fair job opportunities. They believe that access to good schools, job training, and universities is essential for people to succeed in life. Additionally, the candidate emphasizes the importance of respecting and dignity for both children and the elderly, regardless of their socioeconomic status."
Alaska,Charlie Pierce,"Charlie Pierce is running for governor and has vowed to prioritize several key issues. He promises to:* Restore the statutory Permanent Fund Dividend to Alaskans in full* Focus on developing and utilizing Alaska's natural resources to benefit all residents* Improve education in Alaska by putting children first and increasing educational competence* Grow the economy by creating a positive business environment and encouraging new business growth* Prioritize election integrity by investigating and correcting deficiencies in the electoral process"
Alaska,Bill Walker,"**Economic Rebuilding**: The candidate, a governor, emphasizes the importance of a stable fiscal plan to create jobs, grow businesses, and attract young Alaskans to the state. They propose a comprehensive plan to boost the economy, including investments in education, child care, and infrastructure.**Education**: The candidate prioritizes education, seeking to make schools a major focus area. They propose competitive salaries for educators, expanded child care, and Pre-K programs to ensure that Alaska's children and families thrive.**University of Alaska**: The candidate recognizes the University of Alaska's importance in driving economic growth and proposes investing in its research, academics, and infrastructure.**Alaska Marine Highway System**: The candidate aims to rebuild the state ferry system, making it more sustainable and durable for the long term, by reducing its entanglement in political processes and implementing reforms.**Child Care**: The candidate proposes financial incentives for employers to provide affordable child care for employees, recognizing its crucial role in maintaining a workforce.**Reproductive Rights**: The candidate acknowledges the importance of reproductive rights, promising to protect the status quo of women's existing rights, including access to birth control, family planning, and healthcare services.**Permanent Fund**: The candidate suggests leveraging the Permanent Fund's earnings to fund government services, making Alaska the first and only tax-free state.**Climate Change**: The candidate reiterates the urgency of addressing climate change, promising to re-establish the Climate Change Action Leadership Team and implement its action plan to combat climate change.**Bipartisan Infrastructure Bill**: The candidate supports investing billions of dollars in Alaska's infrastructure, prioritizing rural communities and addressing climate change.**LGBTQIA+ Rights**: The candidate affirms their commitment to upholding the rights of all Alaskans, including LGBTQIA+ individuals, and pledges to protect their privacy and security.**Resource Development**: The candidate emphasizes the importance of responsible resource development, ensuring that Alaska residents benefit from resource extraction jobs, and that the state prioritizes production over exports.**Pebble Mine**: The candidate opposes the Pebble Mine project, citing concerns about its environmental impact.**Bycatch**: The candidate promises to address the issue of bycatch, recognizing its devastating effect on Alaska's fishing industry and subsistence communities.**Coastal Zone Management**: The candidate supports reinstating the Coastal Zone Management concept, which allows for community engagement and transparency in resource development projects.**Small Businesses**: The candidate acknowledges the importance of small businesses, pledging to provide resources and support for job creation and economic growth.**Public Safety**: The candidate prioritizes public safety, promising to address the root causes of violence, including trauma, mental health, and addiction problems.**Constitutional Convention**: The candidate opposes efforts to pass a constitutional convention, recognizing the potential dangers to Alaska's unique constitution.**Affordable Housing**: The candidate promises to address the severe lack of affordable housing in Alaska, implementing an action plan to provide homes for workers and their families."
Arizona,Katie Hobbs,"Katie seeks to continue the fight to ensure every Arizonan's voice is heard by improving election accessibility and protecting the right to vote. She aims to eliminate long lines and inefficiencies, recognizing this as crucial to building a better Arizona for future generations. With a commitment to serving the best interests of Arizonans, Katie emphasizes the importance of state officials putting people's needs above partisan divisions."
Arizona,Kari Lake,Description Not Found
Arkansas,Sarah Huckabee Sanders,Description Not Found
Arkansas,Chris Jones,"Candidate aims to improve Arkansas' well-being by addressing leadership neglect and focusing on education and infrastructure to increase opportunities across the state and boost the economy. As former Executive Director of the Arkansas Innovation Hub, they plan to develop programs supporting innovation, such as credentialing for new trades and small business assistance. Additionally, they will leverage private-public partnerships, attract new businesses, and protect family-owned businesses to uplift the state. The goal is to leave no community behind."
Arkansas,Ricky Dale Harrington Jr.,"Candidate Background:* Has experience working in the healthcare and corrections fields* Parents also worked in these fields, which has had an impact on their personal and professional lifeKey Points:* Emphasizes the importance of getting back to the basics of the elements of power* Believes in the fundamental principle that all individuals are equal under the law* Acknowledges that the country is still a work in progress in achieving this goal"
California,Gavin Newsom,Description Not Found
